Esperienza 1;;;;;;;;;;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);;;;;;
;102 Hz;4 V;9,6 V;100 Hz;104 Hz;;;;;;
;140;4;9,6;147;139;;;;;;
;191;4;9,6;192;192;;;;;;
;208;4;9,6;208;208;;;;;;
;218;4;9,6;227;208;;;;;;
;6;4;9,6;6,25;6,25;;;;;;
;17;4;9,6;17;17;;;;;;
;;;;;;;;;;;
secondo pt;;;;;;;;;;;
RESISTENZE R1=214 R2=671;;;;;;;;;poche misure ma va bene lo stesso perchè sticazzi tanto il plot viene uguale;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);Vampl/Vgenfun;;;;;
;780Hz;1,12;4,08;;;3,642857143;;;;;
;780Hz;1,68;6,56;;;3,904761905;;;;;
;780Hz;1,28;4,88;;;3,8125;;;;;
;780Hz;1,04;3,6;;;3,461538462;;;;;
;780Hz;1,36;5,04;;;3,705882353;;;;;
;780Hz;0,96;3,28;;;3,416666667;;;;;
;780Hz;1,44;5,44;;;3,777777778;;;;;
;780Hz;1,12;4;;;3,571428571;;;;;
;780Hz;1,6;6,08;;;3,8;;;;;
;780Hz;1,92;7,36;;;3,833333333;;;;;
;780Hz;1,6;6;;;3,75;;;;;
;;;;;;#DIV/0!;;;;;
;199Hz;1,36;5;;;3,676470588;;misura senza senso;;;
;370;1,12;4,2;;;3,75;;;;;
;688;1,12;4,2;;;3,75;;;;;
;835;1,12;4,2;;;3,75;;;;;
;1403;1,12;4,16;;;3,714285714;;;;;
;1614;1,12;4,16;;;3,714285714;;;;;
;2055;1,12;4,16;;;3,714285714;;;;;
;5,08 kHz;1,12;4,16;;;3,714285714;;;;;
;12,54;1,12;4,16;;;3,714285714;;;;;
;18,45;1,12;4,08;;;3,642857143;;;;;
;30,6;1,12;3,48;;;3,107142857;;;;;
;77;1,12;1,52;;;1,357142857;;;;;
;35,3;1,12;2,88;;;2,571428571;;;;;
;43,6;1,12;2,56;;;2,285714286;;;;;
;59,7;1,12;1,84;;;1,642857143;;;;;
;66,3;1,12;1,68;;;1,5;;;;;
;85,4;1,12;1,32;;;1,178571429;;;;;
;4 Hz;1,12;3,76;;;3,357142857;;;;;
;13;1,12;3,84;;;3,428571429;;;;;
;17;1,12;3,84;;;3,428571429;;;;;
;6;1,12;4;;;3,571428571;;;;;
;9;1,12;3,76;;;3,357142857;;;;;
;parte a sinistra nel grafico;;;;;#DIV/0!;;;;;
;1 hz;1,12;2,4;;;2,142857143;;;;;
;2 hz;1,12;3,6;;;3,214285714;;;;;
;3 hz;1,12;3,76;;;3,357142857;;;;;
;5 hz;1,12;4;;;3,571428571;;;;;
;6 hz;1,12;4;;;3,571428571;;;;;
;9 hz;1,12;4,08;;;3,642857143;;;;;
;17 hz;1,12;4,08;;;3,642857143;;;;;
;15hz;1,12;4,08;;;3,642857143;;;;;
;21;1,12;4,08;;;3,642857143;;;;;
;33;1,12;4,16;;;3,714285714;;;;;
;53;1,12;4,16;;;3,714285714;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
 RESISTENZA R1=99 R2=214;;;;;;;;;;;
;;;;;;;;;;;
;frequenza;V genfun (1);V ampl (2);;;;;;;R1=;214
;2025kHz;1,04;3,04;2,923076923;;;;;;R2=;671
;2025kHz;1,2;3,52;2,933333333;;;;;;;4,135514019
;2025kHz;1,04;2,88;2,769230769;;;;;;R3=;99
;2025kHz;1,68;4,96;2,952380952;;;;;;R4=;1207
;2025kHz;0,88;2,24;2,545454545;;;;;;;
;2025kHz;1,2;3,36;2,8;;;;;;;
;2025kHz;1,52;4,32;2,842105263;;;;;;;
;2025kHz;1,84;5,6;3,043478261;;;;;;;
;2025kHz;1,92;5,84;3,041666667;;AMPIEZZA MASSIMA=5,84;;;;;
;;;;;;;;;;;
;20Hz;0,952;2,8;2,941176471;;;;;;;
;14;0,952;2,8;2,941176471;;;;;;;
;12;0,952;2,8;2,941176471;;;;;;;
;11;0,952;2,8;2,941176471;;;;;;;
;7;0,952;2,72;2,857142857;;;;;;;
;54;0,969;2,8;2,889576883;;;;;;;
;87;0,969;2,88;2,972136223;;;;;;;
;129;0,969;2,88;2,972136223;;;;;;;
;178;0,969;2,88;2,972136223;;;;;;;
;1192;0,969;2,88;2,972136223;;;;;;;
;1848;0,969;2,88;2,972136223;;;;;;;
;2081;0,969;2,88;2,972136223;;;;;;;
;21,05kHz;0,969;2,88;2,972136223;;;;;;;
;147,9;0,969;0,68;0,701754386;;;;;;;
;50;0,969;1,96;2,022703818;;;;;;;
