Esperienza 1;;;;;;;;;;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);;;;;;
;102 Hz;4 V;9.6 V;100 Hz;104 Hz;;;;;;
;140;4;9.6;147;139;;;;;;
;191;4;9.6;192;192;;;;;;
;208;4;9.6;208;208;;;;;;
;218;4;9.6;227;208;;;;;;
;6;4;9.6;6.25;6.25;;;;;;
;17;4;9.6;17;17;;;;;;
;;;;;;;;;;;
secondo pt;;;;;;;;;;;
RESISTENZE R1=214 R2=671;;;;;;;;;poche misure ma va bene lo stesso perchè sticazzi tanto il plot viene uguale;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);Vampl/Vgenfun;;;;;
;780Hz;1.12;4.08;;;#VALORE!;;;;;
;780Hz;1.68;6.56;;;#VALORE!;;;;;
;780Hz;1.28;4.88;;;#VALORE!;;;;;
;780Hz;1.04;3.6;;;#VALORE!;;;;;
;780Hz;1.36;5.04;;;#VALORE!;;;;;
;780Hz;0.96;3.28;;;#VALORE!;;;;;
;780Hz;1.44;5.44;;;#VALORE!;;;;;
;780Hz;1.12;4;;;#VALORE!;;;;;
;780Hz;1.6;6.08;;;#VALORE!;;;;;
;780Hz;1.92;7.36;;;#VALORE!;;;;;
;780Hz;1.6;6;;;#VALORE!;;;;;
;;;;;;#DIV/0!;;;;;
;199Hz;1.36;5;;;#VALORE!;;misura senza senso;;;
;370;1.12;4.2;;;#VALORE!;;;;;
;688;1.12;4.2;;;#VALORE!;;;;;
;835;1.12;4.2;;;#VALORE!;;;;;
;1403;1.12;4.16;;;#VALORE!;;;;;
;1614;1.12;4.16;;;#VALORE!;;;;;
;2055;1.12;4.16;;;#VALORE!;;;;;
;5.08 kHz;1.12;4.16;;;#VALORE!;;;;;
;12.54;1.12;4.16;;;#VALORE!;;;;;
;18.45;1.12;4.08;;;#VALORE!;;;;;
;30.6;1.12;3.48;;;#VALORE!;;;;;
;77;1.12;1.52;;;#VALORE!;;;;;
;35.3;1.12;2.88;;;#VALORE!;;;;;
;43.6;1.12;2.56;;;#VALORE!;;;;;
;59.7;1.12;1.84;;;#VALORE!;;;;;
;66.3;1.12;1.68;;;#VALORE!;;;;;
;85.4;1.12;1.32;;;#VALORE!;;;;;
;4 Hz;1.12;3.76;;;#VALORE!;;;;;
;13;1.12;3.84;;;#VALORE!;;;;;
;17;1.12;3.84;;;#VALORE!;;;;;
;6;1.12;4;;;#VALORE!;;;;;
;9;1.12;3.76;;;#VALORE!;;;;;
;parte a sinistra nel grafico;;;;;#DIV/0!;;;;;
;1 hz;1.12;2.4;;;#VALORE!;;;;;
;2 hz;1.12;3.6;;;#VALORE!;;;;;
;3 hz;1.12;3.76;;;#VALORE!;;;;;
;5 hz;1.12;4;;;#VALORE!;;;;;
;6 hz;1.12;4;;;#VALORE!;;;;;
;9 hz;1.12;4.08;;;#VALORE!;;;;;
;17 hz;1.12;4.08;;;#VALORE!;;;;;
;15hz;1.12;4.08;;;#VALORE!;;;;;
;21;1.12;4.08;;;#VALORE!;;;;;
;33;1.12;4.16;;;#VALORE!;;;;;
;53;1.12;4.16;;;#VALORE!;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
 RESISTENZA R1=99 R2=214;;;;;;;;;;;
;;;;;;;;;;;
;frequenza;V genfun (1);V ampl (2);;;;;;;R1=;214
;2025kHz;1.04;3.04;#VALORE!;;;;;;R2=;671
;2025kHz;1.2;3.52;#VALORE!;;;;;;;4,135514019
;2025kHz;1.04;2.88;#VALORE!;;;;;;R3=;99
;2025kHz;1.68;4.96;#VALORE!;;;;;;R4=;1207
;2025kHz;0.88;2.24;#VALORE!;;;;;;;
;2025kHz;1.2;3.36;#VALORE!;;;;;;;
;2025kHz;1.52;4.32;#VALORE!;;;;;;;
;2025kHz;1.84;5.6;#VALORE!;;;;;;;
;2025kHz;1.92;5.84;#VALORE!;;AMPIEZZA MASSIMA=5.84;;;;;
;;;;;;;;;;;
;20Hz;0.952;2.8;#VALORE!;;;;;;;
;14;0.952;2.8;#VALORE!;;;;;;;
;12;0.952;2.8;#VALORE!;;;;;;;
;11;0.952;2.8;#VALORE!;;;;;;;
;7;0.952;2.72;#VALORE!;;;;;;;
;54;0.969;2.8;#VALORE!;;;;;;;
;87;0.969;2.88;#VALORE!;;;;;;;
;129;0.969;2.88;#VALORE!;;;;;;;
;178;0.969;2.88;#VALORE!;;;;;;;
;1192;0.969;2.88;#VALORE!;;;;;;;
;1848;0.969;2.88;#VALORE!;;;;;;;
;2081;0.969;2.88;#VALORE!;;;;;;;
